Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Horace Greeley Elementary School,ES,832 W Sheridan Rd ,60613,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609850.pdf,No,Strong,65.0,NDA,NDA,Average,48.0,Weak,38.0,NDA,NDA,NDA,NDA,Average,52,Average,52,95.9%,6.0,96.0%,100.0%,64.5,35.5,46.7,37.4,48.8,52.8,65.6,47.9,53.1,49.7,43.1,50,26.9,16.3,0.2,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,611,32,NDA,6,LAKE VIEW,46,19,0,609850
Irvin C Mollison Elementary School,ES,4415 S Dr Martin L King Jr Dr ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610276.pdf,No,Average,44.0,NDA,NDA,Average,46.0,Weak,38.0,NDA,NDA,NDA,NDA,Average,52,Average,50,91.1%,36.1,94.3%,94.4%,49.3,36.8,27.4,19.8,48.2,41.9,34.4,26.4,57.9,41.9,11.1,25.9,4.8,4.3,0.2,0.2,Yellow,Yellow,20.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,244,40,NDA,38,GRAND BOULEVARD,3,2,1,610276
Joseph E Gary Elementary School,ES,3740 W 31st St ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609938.pdf,No,Weak,32.0,Weak,27,Weak,29.0,Weak,28.0,Weak,29,Very Weak,17,Weak,45,Average,48,96.1%,16.8,96.2%,100.0%,NDA,NDA,34.5,21.8,50.5,55.3,45.5,27.7,58.4,41.7,12.3,21.3,14.3,7.6,0.4,0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1204,37,NDA,30,SOUTH LAWNDALE,22,10,0,609938
Charles G Hammond Elementary School,ES,2819 W 21st Pl ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609966.pdf,No,Average,40.0,NDA,NDA,Average,41.0,Average,43.0,NDA,NDA,NDA,NDA,Weak,43,Weak,45,95.3%,8.5,95.2%,92.0%,77.4,NDA,27.4,24.8,62.4,53.7,38.1,28.8,60.2,59.8,12.8,5.3,10.1,5.8,0.5,0.2,Yellow,Yellow,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,446,39,NDA,30,SOUTH LAWNDALE,12,10,0,609966
Jordan Elementary Community School,ES,7414 N Wolcott Ave ,60626,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609865.pdf,No,Strong,61.0,Weak,31,Average,57.0,Average,49.0,Very Weak,17,Very Weak,15,Average,52,Average,51,95.6%,16.4,95.1%,100.0%,60.1,42,36,21.1,41.4,54.1,26.3,19.1,43.2,34.7,4.8,15.9,16.9,7.1,0.3,-1.2,Yellow,Red,37.7,23.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,753,32,NDA,1,ROGERS PARK,49,24,0,609865
Dyett High School,HS,555 E 51st St ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609736.pdf,No,Weak,27.0,Very Weak,18,Weak,35.0,Average,47.0,Weak,35,Weak,25,NDA,NDA,NDA,NDA,62.5%,24.4,93.5%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.6,11.7,13,12.9,1.3,14,1,3.3,33.7,51,318,42,37.1,40,WASHINGTON PARK,4,2,1,609736
Lyman Trumbull Elementary School,ES,5200 N Ashland Ave ,60640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610205.pdf,No,Average,56.0,NDA,NDA,Average,47.0,Weak,25.0,NDA,NDA,NDA,NDA,Average,50,Strong,55,94.3%,17.8,95.2%,97.7%,55.1,25.7,21.6,29,37.5,38,39,42.2,30.4,31.8,21.1,36.8,14.2,13.5,-1.8,-1.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,438,32,NDA,77,EDGEWATER,40,20,1,610205
Orville T Bright Elementary School,ES,10740 S Calhoun Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609811.pdf,No,Very Weak,18.0,NDA,NDA,Weak,28.0,Weak,27.0,NDA,NDA,NDA,NDA,Weak,41,Weak,42,92.2%,55.7,95.3%,100.0%,50.5,19,30.4,28.2,65.1,64.8,35.8,32.3,74.1,61.3,0,17.9,8.2,5.9,2.4,0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,361,47,NDA,51,SOUTH DEERING,10,4,1,609811
James Ward Elementary School,ES,2701 S Shields Ave ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610217.pdf,No,Average,49.0,Strong,65,Average,50.0,Average,46.0,Strong,63,Average,56,Average,48,Weak,43,97.8%,1.3,96.9%,100.0%,74.8,63.8,71.6,57,68.1,80.6,77.8,53.3,79.3,51.9,44.2,34.6,51.1,23.8,-0.1,-1.0,Yellow,Red,43.6,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,492,40,NDA,34,ARMOUR SQUARE,11,9,0,610217
Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610185.pdf,No,Strong,61.0,NDA,NDA,Average,50.0,Weak,36.0,NDA,NDA,NDA,NDA,Average,47,Weak,41,95.7%,2.3,94.7%,98.3%,53.7,26.6,38.3,34.7,43.7,57.3,48.8,39.2,46.8,44,7.5,21.9,18.3,15.5,-0.9,-1.0,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1324,44,NDA,70,ASHBURN,13,8,0,610185
Walter Payton College Preparatory High School,HS,1034 N Wells St ,60610,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609680.pdf,No,Very Strong,98.0,NDA,NDA,Very Strong,80.0,Strong,77.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.4%,0.7,96.1%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,33,90.7,8,NEAR NORTH SIDE,27,18,0,609680
Richard T Crane Technical Preparatory High School,HS,2245 W Jackson Blvd ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609702.pdf,No,Average,43.0,NDA,NDA,Average,50.0,Average,48.0,NDA,NDA,NDA,NDA,Average,47,Weak,46,57.9%,19.9,93.9%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,11.9,13.2,13.6,1.6,14,0.8,3.7,48,32.6,478,38,40.9,28,NEAR WEST SIDE,2,12,1,609702
Laura S Ward Elementary School,ES,410 N Monticello Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610133.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,92.9%,3.9,97.5%,100.0%,72.6,54,35.2,13,43.5,60.7,41.7,27.5,44,50.4,14.3,47.1,14.2,6.9,-3.5,-5.0,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,429,34,NDA,23,HUMBOLDT PARK,27,11,1,610133
John Whistler Elementary School,ES,11533 S Ada St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610225.pdf,No,Average,45.0,Weak,32,Average,41.0,Weak,28.0,Weak,20,Weak,21,Average,52,Strong,55,92.4%,11.1,97.0%,100.0%,74.7,60.2,34,27.4,49,61.2,31.5,28,50.4,51.2,6,8.2,5.4,4.1,-0.9,0.5,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,375,49,NDA,53,WEST PULLMAN,34,5,1,610225
Mount Greenwood Elementary School,ES,10841 S Homan Ave ,60655,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610082.pdf,No,Very Strong,84.0,NDA,NDA,Average,58.0,Weak,38.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.0%,2.9,96.1%,98.5%,85.8,NDA,64.6,71.2,66.9,63.1,72,71.6,63.1,51.6,41.3,65.3,39.5,39.2,-0.1,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,909,49,NDA,74,MOUNT GREENWOOD,19,22,0,610082
Evergreen Academy Middle School,MS,3537 S Paulina St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610319.pdf,No,Strong,60.0,Average,58,Average,47.0,Average,44.0,Average,59,Strong,65,Weak,43,Average,48,96.1%,5.5,97.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,37.6,31.6,54.4,57.5,13.3,21.7,11.5,9.3,-0.3,-0.5,Yellow,Yellow,37.8,43.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,389,39,NDA,59,MCKINLEY PARK,11,9,0,610319
Jensen Elementary Scholastic Academy,ES,3030 W Harrison St ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610271.pdf,No,Weak,35.0,Average,41,Average,42.0,Strong,67.0,Average,43,Average,40,Weak,46,Average,47,93.1%,17.2,95.3%,100.0%,81.3,75.5,61.4,37.3,58.9,78.6,48.8,37.3,63.4,63.2,11.6,23.3,20.2,11.7,2.9,0.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,364,37,NDA,27,EAST GARFIELD PARK,28,11,1,610271
Edward Beasley Elementary Magnet Academic Center,ES,5255 S State St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610246.pdf,No,Average,47.0,NDA,NDA,Weak,34.0,Average,48.0,NDA,NDA,NDA,NDA,Weak,42,Weak,45,95.0%,10.3,94.7%,100.0%,74,54.1,39.8,38.7,43.6,47.5,53.8,55.4,57.3,54.2,27,43,26.4,21.3,0.3,0.3,Yellow,Yellow,38.6,76.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1365,42,NDA,40,WASHINGTON PARK,3,2,0,610246
John F Kennedy High School,HS,6325 W 56th St ,60638,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609718.pdf,No,Average,53.0,Weak,30,Weak,32.0,Weak,27.0,Weak,22,Weak,24,NDA,NDA,NDA,NDA,83.0%,22.0,94.7%,99.3%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.8,14.1,15.1,15.6,0.8,16.4,1.3,24.4,53.3,52.9,1589,44,59.7,56,GARFIELD RIDGE,23,8,1,609718
Robert Nathaniel Dett Elementary School,ES,2306 W Maypole Ave ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610252.pdf,No,Average,48.0,NDA,NDA,Average,51.0,Strong,65.0,NDA,NDA,NDA,NDA,Average,51,Strong,57,94.4%,6.9,94.8%,100.0%,84.3,58.8,29.4,16.2,37.9,55.4,31.4,26.7,56.3,29.6,8,12,24.4,15.4,0.4,1.0,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,250,35,NDA,28,NEAR WEST SIDE,2,13,0,610252
Edward Tilden Career Community Academy High School,HS,4747 S Union Ave ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609735.pdf,No,Weak,34.0,Average,57,Average,45.0,Weak,37.0,Average,54,Weak,35,Average,51,Average,47,78.4%,13.0,95.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.6,12,12.9,12.9,1.3,13.5,0.6,10.5,41.1,37,461,42,86.5,61,NEW CITY,11,9,1,609735
Walt Disney Magnet Elementary School,ES,4140 N Marine Dr ,60613,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610363.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.4%,7.7,96.4%,100.0%,NDA,53.8,63.9,64.9,54.7,64.1,72.8,69.6,59.9,51,38.7,53.3,46.0,35.7,0.4,0.6,Green,Green,20,74.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1651,32,NDA,3,UPTOWN,46,19,0,610363
Durkin Park Elementary School,ES,8445 S Kolin Ave ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610352.pdf,No,Strong,61.0,Strong,74,Average,57.0,Average,58.0,Very Strong,88,Strong,74,Average,53,Weak,38,95.4%,0.7,95.8%,100.0%,75.6,58.1,36.6,32.3,55.8,65.6,53.4,40.4,61.8,61.5,22.4,40.8,22.0,16.3,0.8,1.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,543,44,NDA,70,ASHBURN,18,8,0,610352
Gurdon S Hubbard High School,HS,6200 S Hamlin Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609741.pdf,No,Average,42.0,NDA,NDA,Weak,34.0,Weak,29.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,89.3%,4.3,96.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.4,14.2,15.3,15.3,0.9,17.3,2,30.1,57.2,51.3,1672,44,64.5,65,WEST LAWN,13,8,0,609741
Mary McLeod Bethune Elementary School,ES,3030 W Arthington St ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610365.pdf,No,Average,53.0,Average,47,Average,53.0,Weak,39.0,Weak,31,Average,46,Strong,56,Strong,58,93.3%,25.8,97.6%,98.0%,50,NDA,13.8,13.8,44,49.1,22.1,24.1,57,46,6.7,16.7,6.1,4.4,1.3,-0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,362,37,NDA,27,EAST GARFIELD PARK,28,11,1,610365
Abraham Lincoln Elementary School,ES,615 W Kemper Pl ,60614,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610038.pdf,Yes,Very Strong,99.0,Very Strong,99,Strong,74.0,Strong,66.0,Strong,65,Strong,70,Strong,56,Average,47,96.0%,2.0,96.4%,95.8%,80.1,43.3,89.6,84.9,60.7,62.6,81.9,85.2,52,62.4,66.3,77.9,69.7,64.4,0.2,0.9,Yellow,Green,67.1,54.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,813,33,NDA,7,LINCOLN PARK,43,18,0,610038
Mariano Azuela Elementary School,ES,4707 W Marquette Rd ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610544.pdf,No,Average,54.0,Very Strong,96,Strong,61.0,Very Strong,81.0,Strong,73,Very Strong,84,Average,47,Strong,58,95.5%,19.7,0.0%,98.7%,69.5,42.9,28.7,26.1,48.2,32.1,46.9,34.9,55.2,57.4,NDA,NDA,13.0,11.9,-1.3,0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,873,44,NDA,65,WEST LAWN,13,8,0,610544
Christian Fenger Academy High School,HS,11220 S Wallace St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609705.pdf,No,Weak,36.0,Weak,28,Average,41.0,Weak,32.0,Average,46,Average,42,NDA,NDA,NDA,NDA,74.4%,49.8,95.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12.1,12.9,13.3,1.3,14,1.1,11.3,34.8,36.7,688,48,68.2,49,ROSELAND,34,22,1,609705
Ronald Brown Elementary Community Academy,ES,12607 S Union Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610091.pdf,No,Weak,31.0,Weak,26,Average,52.0,Weak,33.0,Average,48,Average,45,Average,52,Strong,55,93.8%,35.6,96.3%,98.1%,62.7,32,28,33.7,57.1,47.4,37.9,33,62.4,66.7,4,32,13.4,12.5,0.6,1.4,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,283,48,NDA,53,WEST PULLMAN,9,5,0,610091
Lake View High School,HS,4015 N Ashland Ave ,60613,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609719.pdf,No,Strong,64.0,NDA,NDA,Average,52.0,Average,43.0,NDA,NDA,NDA,NDA,Average,49,Weak,43,87.7%,8.5,96.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.3,15.8,16.1,16.7,1.4,17.8,1.7,36.6,81.4,62.8,1500,33,87.3,6,LAKE VIEW,47,19,0,609719
William F Finkl Elementary School,ES,2332 S Western Ave ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609967.pdf,No,Average,56.0,Strong,60,Average,50.0,Average,52.0,Average,41,Average,56,Average,49,Strong,54,95.2%,6.7,96.9%,100.0%,58.6,NDA,33.1,25.2,53.6,47.8,44.9,34.8,48.4,50.8,17.1,25.7,19.2,9.6,0.4,0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,588,39,NDA,31,LOWER WEST SIDE,25,10,1,609967
Daniel Webster Elementary School,ES,4055 W Arthington St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610221.pdf,No,Average,48.0,Average,56,Very Strong,81.0,Strong,66.0,Average,46,Average,44,Weak,45,Strong,55,94.8%,5.7,97.2%,100.0%,81.6,45.9,37,37,56.6,63.3,44.2,26.9,57.8,58.8,2.6,37.5,25.9,21.0,2.0,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,370,36,NDA,26,WEST GARFIELD PARK,24,11,0,610221
Wolfgang A Mozart Elementary School,ES,2200 N Hamlin Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610088.pdf,No,Average,41.0,NDA,NDA,Average,56.0,Weak,32.0,NDA,NDA,NDA,NDA,Average,50,Strong,54,95.2%,3.6,96.4%,100.0%,39.8,10.1,28.7,34.2,51.1,48.2,46.7,32.6,74.7,64,NDA,NDA,12.0,11.0,0.4,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,748,34,NDA,22,LOGAN SQUARE,35,25,0,610088
Salmon P Chase Elementary School,ES,2021 N Point St ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609853.pdf,No,Average,55.0,Weak,28,Average,59.0,Weak,39.0,Weak,25,Weak,27,NDA,NDA,NDA,NDA,95.4%,18.5,95.8%,98.6%,63,26.7,40.6,25,57.3,72.1,47.1,36.8,70.2,56.8,23.1,23.1,17.1,11.0,-0.6,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,504,35,NDA,22,LOGAN SQUARE,1,14,0,609853
Charles Gates Dawes Elementary School,ES,3810 W 81st Pl ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609879.pdf,No,Average,44.0,Weak,38,Weak,27.0,Weak,30.0,Strong,60,Average,54,Average,50,Average,48,95.7%,35.6,95.6%,99.5%,54.3,24,39.9,42.9,66.9,76.5,52.3,56.2,70.1,65.3,19.8,35.5,23.1,13.6,0.5,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1032,44,NDA,70,ASHBURN,18,8,0,609879
John M Smyth Elementary School,ES,1059 W 13th St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610180.pdf,No,Weak,37.0,NDA,NDA,Average,54.0,Strong,64.0,NDA,NDA,NDA,NDA,Weak,43,Average,52,92.4%,20.1,93.3%,100.0%,67.8,NDA,17.6,10.6,38.1,46,24.8,12.3,54.2,38.8,1.4,1.4,6.3,3.2,1.1,-0.9,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,475,38,NDA,28,NEAR WEST SIDE,2,12,1,610180
Ashburn Community Elementary School,ES,8300 S Saint Louis Ave ,60652,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610287.pdf,No,Average,48.0,Strong,76,Average,52.0,Average,40.0,Strong,68,Strong,70,Average,51,Average,50,95.5%,28.5,97.1%,100.0%,70.6,61.7,40.4,33.3,55.5,56.2,45.8,36.8,69.9,45.5,22.4,30.6,15.1,9.5,0.4,-0.6,Yellow,Yellow,40.8,40,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,490,44,NDA,70,ASHBURN,18,8,0,610287
Austin Polytechnical Academy High School,HS,231 N Pine Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610501.pdf,No,Weak,38.0,NDA,NDA,Average,45.0,Average,53.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,70.1%,21.5,95.2%,98.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12.1,13.6,13.1,1.1,14.8,1.2,8.5,NDA,NDA,250,36,56.1,25,AUSTIN,28,15,1,610501
William W Carter Elementary School,ES,5740 S Michigan Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609844.pdf,No,Very Weak,13.0,Average,49,Weak,33.0,Weak,35.0,Average,56,Strong,62,Weak,46,Weak,46,91.2%,27.0,95.9%,100.0%,72.3,46.6,21.8,17.8,50.5,57.6,24.8,24.8,44.9,48.6,13.3,33.3,6.8,5.5,-0.2,-1.2,Yellow,Red,42.4,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,371,42,NDA,40,WASHINGTON PARK,20,2,1,609844
Anthony Overton Elementary School,ES,221 E 49th St ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610277.pdf,No,Weak,32.0,NDA,NDA,Strong,64.0,Strong,76.0,NDA,NDA,NDA,NDA,Average,52,Strong,55,90.5%,24.9,94.9%,100.0%,52,54.8,19.6,16.2,41.1,40,20.4,25,45.1,46.2,0,8.3,8.2,4.3,1.2,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,436,42,NDA,38,GRAND BOULEVARD,3,2,1,610277
Rachel Carson Elementary School,ES,5516 S Maplewood Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609842.pdf,No,Weak,38.0,Weak,36,Average,45.0,Average,56.0,Weak,26,Weak,36,Average,50,Average,51,97.6%,3.9,97.7%,100.0%,68.5,NDA,44,35,63.2,75.8,40.8,45.5,59.8,59.5,18.1,24.4,19.4,12.2,-0.4,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1222,43,NDA,63,GAGE PARK,16,8,0,609842
Phoenix Military Academy High School,HS,145 S Campbell Ave ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610304.pdf,No,Average,53.0,NDA,NDA,Average,59.0,Strong,78.0,NDA,NDA,NDA,NDA,Average,52,Average,48,92.1%,4.3,97.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.7,14.9,15.9,15.9,1.2,18.6,2.7,33.9,74.8,51.3,461,38,74.1,28,NEAR WEST SIDE,2,11,0,610304
Luke O'Toole Elementary School,ES,6550 S Seeley Ave ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610108.pdf,No,Very Weak,5.0,NDA,NDA,Weak,33.0,Average,40.0,NDA,NDA,NDA,NDA,Weak,45,Average,47,89.2%,26.7,94.6%,100.0%,63.5,NDA,21.2,17.1,39.4,49.6,26,21.1,55.1,50.3,2.9,13.4,7.8,4.6,-0.3,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,511,43,NDA,67,WEST ENGLEWOOD,15,7,1,610108
Henry H Nash Elementary School,ES,4837 W Erie St ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610092.pdf,No,Average,41.0,NDA,NDA,Strong,68.0,Strong,76.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,95.1%,27.9,95.8%,100.0%,48.6,46.4,22.4,18.9,60.4,59.1,27.1,19.5,74.6,60.7,5.1,7.5,7.1,6.0,0.6,-0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,393,36,NDA,25,AUSTIN,28,15,1,610092
